"","high","large","small","xtremelow"
"1",70720088,221747622.4,181891384,821699.307
"2",28188845.465,88840152.64525,67537448.64875,349270.224
"3",74610664,239031950.4,195988392,873812.644
"4",120635569.6,363263013.12,304525291.2,1826232.2412
"5",197796940.8,545746732.16,412652604.8,3425297
"6",373850473.6,832653322.24,675572854.4,9905459.15
"7",1277088.38,4343284.1,4200281.5,9416.369
"8",477006.66,1616928.387,1574964.69,3614.291
"9",1146728.12,76445658.4,3378767.25,7697.494
"10",3566898.125,10851206.4125,9232981.34375,41358.486
"11",160575504,466069305.6,377709184,2750625.975
"12",644837504,2059600315.73333,1265982826.66667,15671013.5333333
"13",675531968,2090960499.2,1287831424,16988520.6
"14",1005735530.66667,2693287569.06667,1856243861.33333,30570398.4666667
"15",224609744,613810547.2,540920544,3807096.6
"16",73399456,339104188.8,197735624,758470.849
"17",208688256,800049939.2,695648980,1650111.2865
"18",50949672,206368758.4,196624576,385710.881
"19",1706078.62,68967278.4,5112702,14239.198
"20",3965299.25,15968671.2,15583957,31052.538
"21",32524400,79965828,73367460,436506.689
"22",2498971648,5656711577.6,4534030848,69706069.6
"23",29819424,75895881.6,68788716,426733.075
