"year","Agent_ID","SB_ID","Act_yield","M_Act_yield","Target","M_Target"
1,1,1,0,0,0,1.53252157297178
1,1,2,0,0,0,2.29587219356261
1,1,3,0,0,0,0.409446649029982
1,1,4,0,0,2.82646762455908,0
1,1,5,0,0,2.1674430643739,0
1,1,6,0.02,0.01,3.65710198082011,0
1,1,7,0.61,0.14,2.08192644290123,0
1,1,8,12.69,5.16,0.422542735008818,0
1,1,9,12.69,5.16,1.43858339616402,0
1,1,10,13.61,9.26,1.5117997563933,0
1,1,11,12.15,8.17,0.970209435626102,0
1,1,12,12,7.89,2.96578269951499,0
1,1,13,12.65,7.54,1.94485961419753,0.472391991402116
1,2,14,12.65,8.68,1.56117123567019,1.49296737213404
1,2,15,10.1,5.14,2.7825336122134,2.05046344246032
1,3,16,10.33,4.41,2.80375187279541,0.913727470899471
1,3,17,12.1,7.46,2.61715608465608,0
1,3,18,4.23,2.93,3.5147266313933,0
1,4,19,12.58,7.48,1.27188282738095,0
1,4,20,12.54,7.6,0,0
1,4,21,9.9,4.24,1.34151310626102,0
1,4,22,9.92,5.25,2.58264320216049,0
1,4,23,11.7,6.41,0,0
1,4,24,12.13,7.43,1.0636795752866,0.201798892967372
1,4,25,12.85,7.92,0.753152288470018,0
1,4,26,11.92,7.64,2.53700764219577,0
1,4,27,12.11,7.5,1.66501214726631,0
1,4,28,10.27,6.19,2.08647486772487,0
1,5,29,6.41,3.88,2.41224342372134,0
1,5,30,5.65,3.27,1.52765582231041,0
1,5,31,6.94,4.45,3.0551542074515,0
1,6,32,13.41,8.51,2.21479521825397,0
1,6,33,13.34,8.92,1.86774431988536,0
1,6,34,12.71,8.13,1.31141534391534,0
1,6,35,7.5,3.86,3.98317656305115,0
1,6,36,12.6,8.31,2.19058641975309,0
1,6,37,12.59,8.3,3.29059951940035,0
1,6,38,8.07,4.95,2.77057613205467,0
1,6,39,8.32,4.59,1.05762235449735,0
1,6,40,12.86,8.54,2.52879304783951,0
1,6,41,12.37,7.56,1.27618135361552,0
1,6,42,12.28,7.29,2.64005348544974,0
1,6,43,9.84,5.83,3.89504275683421,0
1,6,44,6.99,4.51,3.07333546737213,0
1,6,45,10.15,6.6,3.7588633234127,0.0298400044312169
1,6,46,8.22,2.72,1.60527508377425,0
1,6,47,6.21,2.81,1.54470899470899,0
1,7,48,2.87,1.28,1.64782891313933,0
1,7,49,6.97,4.29,2.82336744819224,0
1,7,50,7.24,4.32,2.81381583002646,0
1,7,51,7.69,4.65,3.17749763447972,0
1,7,52,7.51,3.31,0,0
1,8,53,8,3.66,0,0
1,8,54,8.84,5.84,3.37120065806878,0
1,8,55,8.23,5.23,1.68483532738095,0
1,8,56,8.17,3.9,0,0
1,8,57,8.06,3.15,1.30350450396825,0
1,8,58,1.84,1.15,2.86915784832452,0
1,9,59,12.64,7.59,0,0
1,9,60,12.66,8.33,1.98992189484127,0
1,9,61,10.86,6.91,1.09997795414462,0
1,9,62,9.55,5.36,0,0
1,9,63,8.08,5.52,0,0
1,9,64,7.42,3.42,0,0
1,9,65,12.98,6.04,0.67496448170194,0
1,9,66,11.52,7.74,1.39506907738095,0
1,9,67,9.39,6.09,0.95598544973545,0
1,9,68,8.12,5.03,1.46416900132275,0
1,9,69,12.56,8.08,1.60037737323633,1.77297178130511
1,9,70,4.39,1.81,1.87182580467372,0.537957655643739
1,9,71,3.2,1.5,1.04382007429453,0.663267728725749
1,9,72,0.46,2.59,0.535692239858907,0
1,9,73,7.66,4.59,0,0
1,10,74,1.8,0.96,1.00413932021605,0
1,10,75,6.16,3.34,1.57331023148148,0.462657115520282
1,11,76,4.27,1.67,1.10266282407407,0
1,11,77,7.37,3.95,0.51521066468254,0
1,11,78,7.87,4.66,1.07428737488977,0
1,11,79,7.32,3.81,1.40053093805115,0
1,11,80,8.03,4.32,2.36736812610229,0
1,11,81,6.84,3.55,3.73759920634921,0
1,12,82,5.65,1.83,2.31824695326279,0
1,12,83,1.11,0.53,4.66599977954145,0
1,12,84,1.1,0.7,4.59459175044092,0
1,12,85,6.69,2.64,2.40023383487654,0.148632413800705
1,12,86,7.17,3.86,3.76532520943563,0
1,12,87,2,1.38,3.97085537918871,0.334628527336861
1,12,88,1.57,1.12,5.01639660493827,2.54715057319224
1,12,89,1.17,0.87,5.60206844246032,0.851064776124339
2,1,1,0,0,0,1.53252157297178
2,1,2,0,0,0,2.29587219356261
2,1,3,0,0,0,0.409446649029982
2,1,4,0,0,2.82646762455908,0
2,1,5,0,0,2.1674430643739,0
2,1,6,0.03,0.01,3.65710198082011,0
2,1,7,1.08,0.23,2.08192644290123,0
2,1,8,13.72,5.98,0.422542735008818,0
2,1,9,13.72,5.98,1.43858339616402,0
2,1,10,13.28,8.93,1.5117997563933,0
2,1,11,12.18,7.95,0.970209435626102,0
2,1,12,11.84,7.7,2.96578269951499,0
2,1,13,12.29,7.93,1.94485961419753,0.472391991402116
2,2,14,12.72,8.43,1.56117123567019,1.49296737213404
2,2,15,11.43,7.19,2.7825336122134,2.05046344246032
2,3,16,10.75,6.51,2.80375187279541,0.913727470899471
2,3,17,11.17,7.03,2.61715608465608,0
2,3,18,8.56,5.03,3.5147266313933,0
2,4,19,11.28,7.4,1.27188282738095,0
2,4,20,11.18,6.97,0,0
2,4,21,10.93,6.71,1.34151310626102,0
2,4,22,10.82,6.91,2.58264320216049,0
2,4,23,10.15,6.29,0,0
2,4,24,10.82,6.92,1.0636795752866,0.201798892967372
2,4,25,11.48,7.11,0.753152288470018,0
2,4,26,11.12,6.88,2.53700764219577,0
2,4,27,10.37,6.95,1.66501214726631,0
2,4,28,9.77,5.83,2.08647486772487,0
2,5,29,8,4.88,2.41224342372134,0
2,5,30,7.8,4.73,1.52765582231041,0
2,5,31,6.61,4.02,3.0551542074515,0
2,6,32,12.27,8.11,2.21479521825397,0
2,6,33,12.46,8.55,1.86774431988536,0
2,6,34,11.63,7.35,1.31141534391534,0
2,6,35,10.93,6.74,3.98317656305115,0
2,6,36,11.83,7.47,2.19058641975309,0
2,6,37,11.83,7.47,3.29059951940035,0
2,6,38,9.21,5.62,2.77057613205467,0
2,6,39,10.21,6.52,1.05762235449735,0
2,6,40,12.46,8.15,2.52879304783951,0
2,6,41,10.99,7.16,1.27618135361552,0
2,6,42,10.22,6.82,2.64005348544974,0
2,6,43,9.47,6.34,3.89504275683421,0
2,6,44,6.73,4.27,3.07333546737213,0
2,6,45,9.32,6.14,3.7588633234127,0.0298400044312169
2,6,46,7.75,4.99,1.60527508377425,0
2,6,47,7.77,4.98,1.54470899470899,0
2,7,48,6.76,4.17,1.64782891313933,0
2,7,49,6.65,3.92,2.82336744819224,0
2,7,50,6.85,4.03,2.81381583002646,0
2,7,51,7.41,4.35,3.17749763447972,0
2,7,52,7.61,4.8,0,0
2,8,53,7.77,4.98,0,0
2,8,54,8.33,5.54,3.37120065806878,0
2,8,55,7.88,4.86,1.68483532738095,0
2,8,56,7.64,4.72,0,0
2,8,57,7.77,4.81,1.30350450396825,0
2,8,58,7.64,4.56,2.86915784832452,0
2,9,59,10.67,7.05,0,0
2,9,60,11.61,7.82,1.98992189484127,0
2,9,61,10.11,6.74,1.09997795414462,0
2,9,62,10.11,6.63,0,0
2,9,63,9.14,6.16,0,0
2,9,64,11.1,7.36,0,0
2,9,65,11.9,8.16,0.67496448170194,0
2,9,66,11.35,7.51,1.39506907738095,0
2,9,67,8.76,5.73,0.95598544973545,0
2,9,68,7.76,4.84,1.46416900132275,0
2,9,69,11.26,7.57,1.60037737323633,1.77297178130511
2,9,70,8.48,5.45,1.87182580467372,0.537957655643739
2,9,71,9.37,6.17,1.04382007429453,0.663267728725749
2,9,72,7.27,4.73,0.535692239858907,0
